Epoch 106: start=-2.5552, end=2.2958, tau=6.7868
Epoch 107: start=-2.5557, end=2.2957, tau=6.7766
Epoch 108: start=-2.5559, end=2.2967, tau=6.7325
Epoch 109: start=-2.5556, end=2.2963, tau=6.7578
Epoch 110: start=-2.5557, end=2.2951, tau=6.8023
Epoch 111: start=-2.5551, end=2.2950, tau=6.8209
Epoch 112: start=-2.5550, end=2.2946, tau=6.8425
Epoch 113: start=-2.5551, end=2.2941, tau=6.8602
Epoch 114: start=-2.5557, end=2.2943, tau=6.8369
Epoch 115: start=-2.5557, end=2.2943, tau=6.8358
Epoch 116: start=-2.5557, end=2.2955, tau=6.7852
Epoch 117: start=-2.5559, end=2.2961, tau=6.7577
Epoch 118: start=-2.5559, end=2.2952, tau=6.7943
Epoch 119: start=-2.5551, end=2.2960, tau=6.7808
Epoch 120: start=-2.5556, end=2.2957, tau=6.7806
Epoch 121: start=-2.5547, end=2.2961, tau=6.7874
Epoch 122: start=-2.5542, end=2.2964, tau=6.7892
Epoch 123: start=-2.5534, end=2.2966, tau=6.7982
Epoch 124: start=-2.5536, end=2.2961, tau=6.8150
Epoch 125: start=-2.5542, end=2.2962, tau=6.7980
Epoch 126: start=-2.5543, end=2.2959, tau=6.8070
Epoch 127: start=-2.5534, end=2.2975, tau=6.7605
Epoch 128: start=-2.5526, end=2.2987, tau=6.7313
Epoch 129: start=-2.5524, end=2.3000, tau=6.6808
Epoch 130: start=-2.5510, end=2.3013, tau=6.6616
Epoch 131: start=-2.5510, end=2.3004, tau=6.6993
Epoch 132: start=-2.5502, end=2.3010, tau=6.6894
Epoch 133: start=-2.5498, end=2.3012, tau=6.6924
Epoch 134: start=-2.5495, end=2.3009, tau=6.7131
Epoch 135: start=-2.5505, end=2.3006, tau=6.7004
Epoch 136: start=-2.5510, end=2.3004, tau=6.6989
Epoch 137: start=-2.5518, end=2.2996, tau=6.7127
Epoch 138: start=-2.5522, end=2.2999, tau=6.6922
Epoch 139: start=-2.5520, end=2.2999, tau=6.6917
Epoch 140: start=-2.5519, end=2.2993, tau=6.7214
Epoch 141: start=-2.5524, end=2.2996, tau=6.6963
Epoch 142: start=-2.5523, end=2.3006, tau=6.6562
