0	0.499604	0.205778
0	0.5429	0.6039	0.6805	0.1469	0.1655	0.1922
0	0.5429	0.6039	0.6805	0.1469	0.1655	0.1922
0	0.5429	0.6039	0.6805	0.1469	0.1655	0.1922
0	0.5434	0.6086	0.6789	0.1480	0.1659	0.1928
1	0.5493	0.6009	0.6785	0.1560	0.1717	0.1992
2	0.5474	0.5994	0.6773	0.1605	0.1747	0.2023
3	0.5481	0.6012	0.6775	0.1597	0.1735	0.2014
4	0.5454	0.6033	0.6778	0.1587	0.1706	0.1969
5	0.5423	0.6034	0.6808	0.1590	0.1669	0.1919
6	0.5384	0.6087	0.6829	0.1593	0.1634	0.1841
7	0.5356	0.6065	0.6825	0.1594	0.1579	0.1756
8	0.5365	0.6069	0.6855	0.1582	0.1510	0.1667
9	0.5357	0.5972	0.6861	0.1571	0.1436	0.1567
10	0.5337	0.5987	0.6819	0.1551	0.1373	0.1470
11	0.5326	0.5994	0.6786	0.1522	0.1325	0.1396
12	0.5339	0.5918	0.6820	0.1493	0.1266	0.1315
13	0.5331	0.5925	0.6788	0.1470	0.1227	0.1251
14	0.5330	0.5916	0.6811	0.1456	0.1179	0.1194
15	0.5339	0.5969	0.6774	0.1432	0.1144	0.1134
16	0.5339	0.5941	0.6818	0.1409	0.1104	0.1100
17	0.5330	0.5948	0.6787	0.1391	0.1071	0.1065
18	0.5338	0.5928	0.6800	0.1369	0.1043	0.1025
19	0.5331	0.5930	0.6805	0.1349	0.1015	0.0993
20	0.5335	0.5960	0.6788	0.1322	0.0985	0.0963
21	0.5342	0.5943	0.6750	0.1305	0.0965	0.0940
22	0.5337	0.5942	0.6793	0.1296	0.0940	0.0909
23	0.5351	0.5953	0.6770	0.1272	0.0921	0.0887
24	0.5358	0.5976	0.6794	0.1251	0.0903	0.0861
25	0.5345	0.5942	0.6816	0.1231	0.0885	0.0839
26	0.5338	0.5942	0.6807	0.1215	0.0871	0.0819
27	0.5338	0.5961	0.6781	0.1195	0.0852	0.0804
28	0.5339	0.5971	0.6782	0.1181	0.0834	0.0787
29	0.5331	0.5953	0.6764	0.1163	0.0814	0.0766
30	0.5335	0.5966	0.6813	0.1149	0.0799	0.0755
31	0.5359	0.5973	0.6787	0.1126	0.0780	0.0740
32	0.5343	0.5972	0.6805	0.1108	0.0766	0.0723
33	0.5354	0.5973	0.6765	0.1094	0.0755	0.0707
34	0.5346	0.5944	0.6782	0.1087	0.0744	0.0694
35	0.5349	0.5979	0.6799	0.1073	0.0729	0.0680
36	0.5355	0.5976	0.6782	0.1064	0.0714	0.0669
37	0.5359	0.6005	0.6751	0.1057	0.0703	0.0658
